title,speaker,date,sermonUrl
"The Tragic Story of Jeroboam (Summer Retreat 2014, Session 3)",Reverend Jung Lee,2014-08-07,//35.190.93.184/sermons/20140807_retreat_3_reverend_jung_lee_the_tragic_story_of_jeroboam.mp3
"The Story of Jacob and Leah (Summer Retreat 2014, Session 2)",Reverend Jung Lee,2014-08-07,//35.190.93.184/sermons/20140807_retreat_2_reverend_jung_lee_the_story_of_jacob_and_leah.mp3
"The Story of Abraham (Summer Retreat 2014, Session 1)",Reverend Jung Lee,2014-08-07,//35.190.93.184/sermons/20140807_retreat_1_reverend_jung_lee_the_story_of_abraham.mp3
What Are You Caring About?,Barry Gin,2014-08-03,//35.190.93.184/sermons/20140803_sunday_pastor_barry_gin_what_are_you_caring_about.mp3
The Harvest Is White For Harvest,Damian Lay,2014-07-27,//35.190.93.184/sermons/20140727_sunday_damian_lay_the_harvest_is_white_for_harvest.mp3
A Caring Heart,Barry Gin,2014-07-20,//35.190.93.184/sermons/20140720_sunday_pastor_barry_a_caring_heart.mp3
How Are You Responding To God’s Word?,Barry Gin,2014-07-13,//35.190.93.184/sermons/20140713_sunday_pastor_barry_how_are_you_responding_to_gods_word.mp3
Overcoming Witnessing Barriers,Barry Gin,2014-06-29,//35.190.93.184/sermons/20140629_sunday_pastor_barry_gin_overcoming_witnessing_barriers.mp3
How It’s Supposed To Work,Barry Gin,2014-06-22,//35.190.93.184/sermons/20140622_sunday_pastor_barry_gin_how_it's_supposed_to_work.mp3
What’s So Important About The Church?,Barry Gin,2014-06-08,//35.190.93.184/sermons/20140608_sunday_pastor_barry_gin_what's_so_important_about_the_church.mp3
Follow The Leader,Tony Chon,2014-06-01,//35.190.93.184/sermons/20140601_sunday_pastor_tony_chon_follow_the_leader.mp3
God’s Soldier In Civilian Clothes,Robert Martin,2014-05-25,//35.190.93.184/sermons/20140525_sunday_dr_robert_martin_gods_soldier_in_civilian_clothes.mp3
Let Familiarity Breed Faith,Barry Gin,2014-05-18,//35.190.93.184/sermons/20140518_sunday_pastor_barry_gin_let_familiarity_breed_faith.mp3
"Child-like Faith, Christ-like Heart",Barry Gin,2014-05-04,//35.190.93.184/sermons/20140504_sunday_pastor_barry_gin_child-like_faith_christ-like_heart.mp3
Fearing Sin More Than Opposition,John Woell,2014-04-27,//35.190.93.184/sermons/20140427_sunday_john_woell_fearing_sin_more_than_opposition.mp3
Which Side Of The Resurrection Are You On?,Barry Gin,2014-04-20,//35.190.93.184/sermons/20140420_sunday_pastor_barry_gin_which_side_of_the_resurrection_are_you_living_on.mp3
Finding Strength In Tough Times,Barry Gin,2014-04-13,//35.190.93.184/sermons/20140413_sunday_pastor_barry_gin_finding_strength_in_tough_times.mp3
What Goes Around Comes Around,Barry Gin,2014-03-30,//35.190.93.184/sermons/20140330_sunday_pastor_barry_gin_what_goes_around_comes_around.mp3
What Do You Live By?,Barry Gin,2014-03-23,//35.190.93.184/sermons/20140323_sunday_pastor_barry_gin_what_do_you_live_by.mp3
How Do You Argue With God?,Barry Gin,2014-03-16,//35.190.93.184/sermons/20140316_sunday_pastor_barry_gin_how_do_argue_with_god.mp3
When Good Things Happen To Bad People,Barry Gin,2014-03-09,//35.190.93.184/sermons/20140309_sunday_pastor_barry_gin_when_good_things_happen_to_bad_people.mp3
You Can Cry If You Want To,Barry Gin,2014-03-02,//35.190.93.184/sermons/20140302_sunday_pastor_barry_gin_you_can_cry_if_you_want_to.mp3
